科目,区分,正常残高,表示区分
現金,資産,借,流動資産
普通預金,資産,借,流動資産
定期預金,資産,借,流動資産
有価証券,資産,借,流動資産
売掛金,資産,借,流動資産
未収入金,資産,借,流動資産
前払費用,資産,借,流動資産
立替金,資産,借,流動資産
仮払金,資産,借,流動資産
役員貸付金,資産,借,流動資産
建物,資産,借,有形固定資産
建物附属設備,資産,借,有形固定資産
車両運搬具,資産,借,有形固定資産
工具器具備品,資産,借,有形固定資産
土地,資産,借,有形固定資産
減価償却累計額,資産,貸,有形固定資産
ソフトウエア,資産,借,無形固定資産
投資有価証券,資産,借,投資その他の資産
出資金,資産,借,投資その他の資産
長期前払費用,資産,借,投資その他の資産
敷金,資産,借,投資その他の資産
保険積立金,資産,借,投資その他の資産
買掛金,負債,貸,流動負債
未払金,負債,貸,流動負債
未払費用,負債,貸,流動負債
未払法人税等,負債,貸,流動負債
前受金,負債,貸,流動負債
預り金,負債,貸,流動負債
仮受金,負債,貸,流動負債
短期借入金,負債,貸,流動負債
役員借入金,負債,貸,固定負債
長期借入金,負債,貸,固定負債
資本金,純資産,貸,株主資本
資本準備金,純資産,貸,株主資本
繰越利益剰余金,純資産,貸,株主資本
売上高,収益,貸,売上高
受取利息,収益,貸,営業外収益
受取配当金,収益,貸,営業外収益
有価証券売却益,収益,貸,営業外収益
雑収入,収益,貸,営業外収益
固定資産売却益,収益,貸,特別利益
役員報酬,費用,借,販売費及び一般管理費
給料手当,費用,借,販売費及び一般管理費
法定福利費,費用,借,販売費及び一般管理費
福利厚生費,費用,借,販売費及び一般管理費
外注費,費用,借,販売費及び一般管理費
広告宣伝費,費用,借,販売費及び一般管理費
旅費交通費,費用,借,販売費及び一般管理費
車両費,費用,借,販売費及び一般管理費
通信費,費用,借,販売費及び一般管理費
消耗品費,費用,借,販売費及び一般管理費
修繕費,費用,借,販売費及び一般管理費
地代家賃,費用,借,販売費及び一般管理費
リース料,費用,借,販売費及び一般管理費
水道光熱費,費用,借,販売費及び一般管理費
保険料,費用,借,販売費及び一般管理費
交際費,費用,借,販売費及び一般管理費
会議費,費用,借,販売費及び一般管理費
新聞図書費,費用,借,販売費及び一般管理費
諸会費,費用,借,販売費及び一般管理費
支払手数料,費用,借,販売費及び一般管理費
寄付金,費用,借,販売費及び一般管理費
租税公課,費用,借,販売費及び一般管理費
減価償却費,費用,借,販売費及び一般管理費
雑費,費用,借,販売費及び一般管理費
支払利息,費用,借,営業外費用
有価証券売却損,費用,借,営業外費用
雑損失,費用,借,営業外費用
固定資産売却損,費用,借,特別損失
法人税等,費用,借,法人税等
